OBJECTID;NumeroZona;NomeZona;NumeroMuni;NomeMunici;NumDistrit;NomeDistri;Area_ha_2;ORIG_FID;COORD_X;COORD_Y
89;89;Vila Anglo Brasileira;36;S?o Paulo;61;Perdizes;79.12000275;89;-46.6932533945224;-23.5384282607178
90;90;Pomp?ia;36;S?o Paulo;61;Perdizes;60;90;-46.6870440461782;-23.529583874267
91;91;Santa Marina;36;S?o Paulo;6;Barra Funda;295.3599854;91;-46.6799515331822;-23.5177974104904
92;92;Barra Funda;36;S?o Paulo;6;Barra Funda;118.2099991;92;-46.6625333995929;-23.52013345329
93;93;Francisco Matarazzo;36;S?o Paulo;6;Barra Funda;105.1299973;93;-46.666060583894;-23.5293430371818
94;94;?gua Branca;36;S?o Paulo;6;Barra Funda;71.11000061;94;-46.6774037816592;-23.5261189274673
95;95;Vila Beatriz;36;S?o Paulo;2;Alto de Pinheiros;183.6600037;95;-46.700122290028;-23.5469473488046
96;96;Alto de Pinheiros;36;S?o Paulo;2;Alto de Pinheiros;253.1699982;96;-46.7086581909734;-23.553474564381
97;97;Boa?ava;36;S?o Paulo;2;Alto de Pinheiros;314.4400024;97;-46.7205622050412;-23.5432567825224
98;98;Vila Anast?cio;36;S?o Paulo;48;Lapa;164.6600037;98;-46.7165638046357;-23.5144667547228
99;99;Lapa de Baixo;36;S?o Paulo;48;Lapa;242.6900024;99;-46.6999492635201;-23.5136313927456
100;100;Lapa;36;S?o Paulo;48;Lapa;225.2200012;100;-46.6993754981974;-23.5232473632931
101;101;Vila Ipojuca;36;S?o Paulo;48;Lapa;168.4700012;101;-46.6997455769476;-23.5331569562181
